Date,Action,Ticker,Reason,Price,Shares,Value,RS,Alphabetical Position,Return %,Entry Date,Days Held,RS at Exit
2025-02-04 00:00:00+05:30,SELL,BAJFINANCE.NS,Take Profit,843.4832763671875,116,97844.06005859375,,,15.226227992618654,2025-01-08 00:00:00+05:30,27.0,15.226227992618654
2025-02-04 00:00:00+05:30,BUY,BAJAJFINSV.NS,RS Signal,1812.366943359375,53,96055.44799804688,6.85032242407982,7.0,,,,
2025-03-19 00:00:00+05:30,SELL,BAJAJFINSV.NS,RS Below Threshold,1841.3529052734375,53,97591.70397949219,,,1.5993428935717937,2025-02-04 00:00:00+05:30,43.0,-2.775943000384401
2025-03-19 00:00:00+05:30,BUY,ADANIPORTS.NS,RS Signal,1167.818359375,83,96928.923828125,8.366426276986635,2.0,,,,
2025-04-07 00:00:00+05:30,SELL,ADANIPORTS.NS,RS Below Threshold,1105.272705078125,83,91737.63452148438,,,-5.35576905387483,2025-03-19 00:00:00+05:30,19.0,-2.2487108219700875
2025-04-07 00:00:00+05:30,BUY,APOLLOHOSP.NS,RS Signal,6674.75634765625,13,86771.83251953125,6.522048626303686,3.0,,,,
2025-05-20 00:00:00+05:30,SELL,APOLLOHOSP.NS,RS Below Threshold,6903.1640625,13,89741.1328125,,,3.421963333896858,2025-04-07 00:00:00+05:30,43.0,-3.227164417127605
2025-05-20 00:00:00+05:30,BUY,ADANIPORTS.NS,RS Signal,1377.896240234375,64,88185.359375,11.382836482908813,2.0,,,,
2025-06-20 00:00:00+05:30,SELL,ADANIPORTS.NS,RS Below Threshold,1349.300048828125,64,86355.203125,,,-2.07535158100046,2025-05-20 00:00:00+05:30,31.0,-2.8332670521174297
2025-06-20 00:00:00+05:30,BUY,BHARTIARTL.NS,RS Signal,1920.6435546875,44,84508.31640625,5.732381606656003,9.0,,,,
2025-07-24 00:00:00+05:30,SELL,BHARTIARTL.NS,RS Below Threshold,1936.0999755859375,44,85188.39892578125,,,0.8047521811485917,2025-06-20 00:00:00+05:30,34.0,-3.078712239086668
2025-07-24 00:00:00+05:30,BUY,DABUR.NS,RS Signal,512.5499877929688,165,84570.74798583984,7.505072733720206,14.0,,,,
2025-08-08 00:00:00+05:30,SELL,DABUR.NS,RS Below Threshold,507.25,165,83696.25,,,-1.0340431019792633,2025-07-24 00:00:00+05:30,15.0,-3.4873209864500154
2025-08-12 00:00:00+05:30,BUY,LT.NS,RS Signal,3686.10009765625,22,81094.2021484375,5.497999360510876,31.0,,,,
2025-08-28 00:00:00+05:30,SELL,LT.NS,RS Below Threshold,3560.10009765625,22,78322.2021484375,,,-3.4182468370871195,2025-08-12 00:00:00+05:30,16.0,-2.8648603640360375
2025-08-28 00:00:00+05:30,BUY,BAJAJ-AUTO.NS,RS Signal,8689.5,8,69516.0,8.031329645055013,6.0,,,,
2025-10-01 00:00:00+05:30,SELL,BAJAJ-AUTO.NS,RS Below Threshold,8626.5,8,69012.0,,,-0.7250129466597618,2025-08-28 00:00:00+05:30,34.0,-3.7972566075610574
2025-10-01 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,2592.699951171875,26,67410.19873046875,13.282649822417481,1.0,,,,
2025-10-01 00:00:00+05:30,FINAL POSITION,ADANIENT.NS,End of Period,2592.699951171875,26,67410.19873046875,,,0.0,2025-10-01 00:00:00+05:30,0.0,
